page_name,page_id,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_female,avg_male,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
Nezávislí Berouňáci,109424685781318,8,8,1,55,84046,10506,610496,76312,23751,10.4,0,0.061,0.097,0.151,0.124,0.069,0.048,0,0.052,0.108,0.119,0.094,0.038,0.032,0.55,0.443,0,0.113,0.205,0.27,0.217,0.107,0.08,0.013,0.987,0,0,0,0,0,0,0,0,0,0,0,0
PRO Chomutov,395865150532353,8,7,0.875,37,19096,2387,185496,23187,8876,5.8,0,0.03,0.072,0.11,0.126,0.1,0.081,0,0.039,0.108,0.124,0.105,0.058,0.042,0.521,0.475,0,0.069,0.18,0.234,0.231,0.158,0.123,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Společně pro Chuchli,102760772502379,8,6,0.75,46,5196,650,53996,6750,35001,13.1,0,0.177,0.11,0.078,0.059,0.046,0.055,0,0.106,0.1,0.101,0.073,0.039,0.046,0.525,0.466,0,0.284,0.21,0.179,0.132,0.085,0.1,0.999,0.001,0,0,0,0,0,0,0,0,0,0,0,0
Ta Pravá Plzeň,107442865223275,8,7,0.875,192,8396,1050,109996,13750,306251,5.8,0,0.023,0.037,0.061,0.084,0.1,0.121,0,0.044,0.11,0.131,0.116,0.081,0.089,0.425,0.57,0,0.067,0.147,0.191,0.2,0.181,0.21,0.014,0.014,0.011,0.869,0.011,0.02,0.007,0.007,0.007,0.006,0.011,0.007,0.011,0.005
Volba Pro Kladno,130930366952714,8,7,0.875,106,38446,4806,406496,50812,177626,3.4,0,0.146,0.093,0.078,0.091,0.067,0.071,0,0.082,0.098,0.092,0.083,0.05,0.041,0.546,0.447,0,0.229,0.191,0.171,0.174,0.117,0.112,0.124,0.795,0.007,0.007,0.003,0.01,0.005,0.006,0.006,0.004,0.012,0.005,0.011,0.005
"Antonín Kuchař, váš kandidát č.1 do Senátu",103520459130057,7,3,0.429,187,12146,1735,118496,16928,314315,8.4,0,0.021,0.046,0.08,0.112,0.086,0.081,0,0.051,0.095,0.121,0.129,0.089,0.084,0.427,0.569,0,0.072,0.141,0.201,0.241,0.175,0.165,0.019,0.015,0.008,0.009,0.005,0.016,0.008,0.009,0.008,0.007,0.709,0.019,0.027,0.135
Petr Bureš TV,100816152520438,7,2,0.286,23,6146,878,104996,14999,1000001,8.4,0,0,0,0.055,0.127,0.155,0.136,0,0,0,0.094,0.15,0.14,0.137,0.472,0.521,0,0,0,0.148,0.276,0.295,0.274,0.144,0.098,0.054,0.05,0.036,0.09,0.048,0.053,0.048,0.038,0.107,0.058,0.121,0.054
Sousedé pro Zeleneč,1161973223942398,7,6,0.857,56,6146,878,71496,10214,10001,3.6,0,0.054,0.124,0.136,0.091,0.03,0.021,0,0.068,0.16,0.158,0.104,0.03,0.018,0.457,0.538,0,0.122,0.284,0.293,0.196,0.06,0.039,0.496,0.504,0,0,0,0,0,0,0,0,0,0,0,0
Drago Sukalovský,199712473541525,6,6,1,69,40247,6708,349997,58333,23334,8.7,0,0.034,0.11,0.133,0.094,0.039,0.023,0,0.054,0.184,0.172,0.109,0.031,0.014,0.434,0.564,0,0.089,0.294,0.305,0.203,0.07,0.038,0,0,0.001,0,0,0,0,0,0,0.001,0.998,0,0,0
Liberální institut,120343698070515,6,1,0.167,14,92297,15383,1082997,180500,1000001,21.8,0,0.067,0.067,0.027,0.061,0.09,0.114,0,0.059,0.126,0.091,0.119,0.095,0.079,0.426,0.569,0,0.126,0.192,0.117,0.18,0.185,0.194,0.119,0.102,0.051,0.056,0.028,0.093,0.042,0.051,0.045,0.041,0.125,0.057,0.12,0.054
"Martin Valovič, místostarosta Prahy 10",157675528222654,6,5,0.833,142,20747,3458,166497,27750,23334,4,0,0.033,0.117,0.147,0.125,0.09,0.085,0,0.024,0.104,0.11,0.077,0.044,0.038,0.596,0.398,0,0.057,0.221,0.257,0.201,0.133,0.123,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro Žabiny,109133948378302,6,3,0.5,6,18447,3074,90497,15083,10001,13.3,0,0.074,0.14,0.115,0.09,0.04,0.039,0,0.072,0.172,0.118,0.074,0.029,0.026,0.499,0.493,0,0.146,0.312,0.234,0.164,0.069,0.066,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Týden pro klima,2378696918892024,6,6,1,126,10097,1683,257497,42916,916668,12.7,0,0.425,0.206,0.056,0.039,0.003,0,0,0.101,0.074,0.055,0.034,0,0,0.73,0.264,0,0.527,0.28,0.111,0.073,0.003,0,0.203,0.108,0.053,0.053,0.025,0.074,0.038,0.043,0.042,0.035,0.108,0.046,0.089,0.039
Asistence,131404269206,5,4,0.8,94,14798,2960,537498,107500,1000001,18,0,0.043,0.202,0.285,0.116,0.008,0,0,0.029,0.116,0.148,0.043,0.002,0,0.655,0.339,0,0.072,0.318,0.433,0.16,0.01,0,0.118,0.107,0.062,0.056,0.025,0.074,0.043,0.058,0.055,0.056,0.128,0.064,0.099,0.053
ODS | Pardubice - oblastní sdružení,118636354851151,5,4,0.8,16,10348,2070,75498,15100,6041,2,0,0.049,0.102,0.109,0.083,0.058,0.05,0,0.064,0.169,0.126,0.089,0.054,0.043,0.452,0.545,0,0.113,0.272,0.235,0.172,0.112,0.093,0.01,0.005,0.001,0.001,0,0.003,0.004,0.006,0.958,0.003,0.004,0.002,0.002,0
Petr Hlaváček,328899600936330,5,4,0.8,56,5848,1170,40498,8100,260001,2.2,0,0.032,0.071,0.057,0.06,0.051,0.07,0,0.088,0.201,0.148,0.095,0.058,0.058,0.341,0.648,0,0.12,0.273,0.205,0.155,0.109,0.128,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Petr Němec,1785800678320146,5,3,0.6,61,7048,1410,72498,14500,611001,4,0,0.015,0.023,0.044,0.071,0.104,0.127,0,0.034,0.069,0.104,0.155,0.136,0.114,0.384,0.612,0,0.049,0.092,0.148,0.226,0.24,0.241,0.12,0.281,0.039,0.046,0.025,0.074,0.037,0.039,0.033,0.029,0.084,0.053,0.098,0.04
SPOLU Ostrava-Jih,106768008716053,5,3,0.6,65,5948,1190,64498,12900,4221,22,0,0.057,0.171,0.058,0.041,0.043,0.035,0,0.102,0.345,0.076,0.033,0.022,0.014,0.405,0.593,0,0.159,0.516,0.135,0.074,0.065,0.049,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Corrency,100609955039699,4,1,0.25,98,7798,1950,53998,13500,250501,6,0,0.041,0.111,0.096,0.107,0.072,0.141,0,0.041,0.116,0.085,0.068,0.043,0.071,0.569,0.424,0,0.082,0.227,0.181,0.175,0.115,0.212,0.926,0.016,0.001,0.002,0.002,0.005,0.005,0.003,0.002,0.002,0.013,0.003,0.009,0.003
"Dana Kracíková - Neslibuji, řeším",111112605027103,4,4,1,430,38248,9562,372498,93124,100001,6.5,0,0.045,0.088,0.106,0.101,0.074,0.082,0,0.072,0.128,0.113,0.087,0.05,0.052,0.496,0.502,0,0.117,0.216,0.219,0.188,0.124,0.133,0.019,0.433,0,0,0,0,0.134,0.409,0.004,0,0,0,0,0
iFortuna.cz,109056560836,4,1,0.25,0,19498,4874,352498,88124,100001,11.2,0,0.024,0.053,0.032,0.025,0.016,0.012,0,0.124,0.356,0.175,0.104,0.045,0.031,0.162,0.836,0,0.148,0.409,0.207,0.13,0.061,0.043,0.186,0.12,0.043,0.052,0.027,0.09,0.032,0.044,0.04,0.038,0.108,0.056,0.118,0.045
Pravda O SOBĚ,104384595557737,4,1,0.25,1,10048,2512,85498,21374,400001,4.8,0,0.009,0.02,0.023,0.043,0.043,0.067,0,0.103,0.179,0.174,0.146,0.084,0.098,0.205,0.784,0,0.112,0.199,0.196,0.189,0.127,0.166,1,0,0,0,0,0,0,0,0,0,0,0,0,0
René Černý - politik,101703942538470,4,4,1,107,10998,2750,139998,35000,55001,10.2,0,0,0.009,0.118,0.088,0.061,0.064,0,0,0.08,0.273,0.156,0.074,0.07,0.341,0.652,0,0,0.089,0.392,0.244,0.136,0.133,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rovná Mzda,105187332274623,4,2,0.5,12,14948,3737,639498,159874,750001,12.8,0,0.112,0.06,0.073,0.105,0.095,0.093,0,0.102,0.093,0.085,0.079,0.048,0.047,0.538,0.454,0,0.215,0.154,0.158,0.183,0.143,0.14,0.064,0.119,0.059,0.062,0.038,0.119,0.05,0.056,0.024,0.056,0.129,0.027,0.142,0.057
TERA.cz,1870450529906750,4,2,0.5,13,19998,5000,147498,36874,400026,22.2,0,0.062,0.078,0.044,0.028,0.017,0.012,0,0.112,0.223,0.173,0.13,0.065,0.048,0.24,0.753,0,0.174,0.301,0.218,0.158,0.082,0.06,0.15,0.11,0.07,0.056,0.03,0.074,0.046,0.057,0.049,0.046,0.099,0.05,0.105,0.041
Vít Rakušan,1477535869227488,4,4,1,356,12998,3250,119998,30000,277501,2.2,0,0.025,0.079,0.111,0.117,0.019,0,0,0.082,0.184,0.198,0.153,0.024,0,0.351,0.642,0,0.107,0.263,0.31,0.271,0.043,0,0.248,0.135,0.047,0.044,0.023,0.064,0.039,0.05,0.042,0.041,0.115,0.04,0.068,0.039
World News 24,120764052849694,4,2,0.5,13,17548,4387,161998,40500,875001,14.2,0.031,0.005,0.021,0.06,0.118,0.152,0.17,0.034,0.007,0.03,0.065,0.105,0.102,0.097,0.556,0.44,0.065,0.012,0.052,0.124,0.223,0.254,0.267,0.347,0.079,0.041,0.042,0.029,0.083,0.038,0.043,0.036,0.027,0.081,0.038,0.082,0.033
Datlab,180888668609092,3,1,0.333,67,10598,3533,73998,24666,23334,5.3,0,0,0.025,0.052,0.081,0.091,0,0,0,0.129,0.214,0.225,0.176,0,0.249,0.744,0,0,0.154,0.266,0.307,0.266,0,0.277,0.11,0.031,0.036,0.018,0.059,0.037,0.043,0.039,0.031,0.135,0.061,0.081,0.041
Jaromír Dědeček,103938258002373,3,3,1,186,148,49,1498,499,100001,0.3,0,0.047,0.021,0.003,0.008,0.027,0.063,0,0.017,0.01,0.023,0.041,0.037,0.037,0.169,0.164,0,0.064,0.031,0.026,0.049,0.064,0.1,0.004,0.18,0,0,0,0,0.032,0.117,0,0,0,0,0,0
